X_deg,Y_deg,Pop,Elevation,LandCover,NightLights,Slope,GHI,SolarRestriction,TravelHours,WindVel,SubstationDist,RoadDist,GridDistCurrent,GridDistPlan,Hydropower,HydropowerFID,HydropowerDist,X,Y,Country,VIIRS,Island_Name,Atoll,GHI_GSA,DNI_GSA,PVOUT_GSA,TEMP_GSA,GHI_annual,RoadDistClassified,SubstationDistClassified,LandCoverClassified,ElevationClassified,SlopeClassified,GridClassification,GridPenalty,WindCF,PopStartCalibrated,IsUrban,PopFuture,ElecStart,NewConnections,EducationDemand,HealthDemand,New_Connections_Prod,EnergyPerHH,NumPeoplePerHH,MG_Hydro,MG_PV,MG_Wind,MG_Diesel,SA_Diesel,SA_PV,MG_Hybrid,MinimumOffgrid,MinimumTechLCOE,ElecFuture,Grid,MinGridDist,MinimumOverall,MinimumOverallLCOE,MinimumOverallCode,MinimumCategory,NewCapacity,InvestmentCost
73.04,1.543,4815,1.1,7,10,0.2,2002,1,5.2,4.9,2.0,0.3,0.0,0.0,0,0,999,303000,170700,Maldives,10.0,Gan_Laamu,Laamu,5.579577927004196,4.3019024376973904,4.394790988480282,29.14490812430537,2036.545943356532,5,3,5,5,5,4.82,1.247130848380016,0.0721231643194532,7451.403318313993,0,7453.769374992668,1,164.9008622504616,0,0,164.9008622504616,880.0,5.5,99,0.8742506584270016,99.0,0.5038066350253837,0.8566128433785724,0.2136252996581224,99,SA_PV,0.2136252996581224,1,0.01,0.0,Grid,0.01,1.0,Grid,6.845199761330909,63968.89520487166
73.029,1.58,1584,1.4,7,4,0.3,2002,1,5.3,4.9,3.0,0.4,0.0,0.0,0,0,999,301500,174800,Maldives,4.0,Isdhoo-Kalaidhoo,Laamu,5.579541896237582,4.300205751101525,4.395086681855808,29.1471801374733,2036.532792126717,5,3,5,5,5,4.82,1.247130848380016,0.0721231643194532,2451.3027738752576,0,2452.0811401845044,1,54.24776029174063,0,0,54.24776029174063,880.0,5.5,99,0.9511783104670513,99.0,0.5899474358612911,0.8602999556357718,0.2136252996581223,99,SA_PV,0.2136252996581223,1,0.01,0.0,Grid,0.01,1.0,Grid,2.2518787999892336,29832.28309805177
73.152,1.794,3860,1.1,7,9,0.2,2000,1,5.0,5.0,0.5,0.2,0.0,0.0,0,0,999,315000,198500,Maldives,9.0,Gan,Laamu,5.580324413898331,4.296054287631868,4.396948751984588,29.15806466181056,2036.818411072891,5,5,5,5,5,5.0,1.2896410004739702,0.0774307595821694,5973.5029716909685,0,5975.399748176886,1,132.1946683877013,0,0,132.1946683877013,880.0,5.5,99,0.8871008509667324,99.0,0.5170227756124411,0.849238618864173,0.21383892495778048,99,SA_PV,0.21383892495778048,1,0.01,0.0,Grid,0.01,1.0,Grid,5.487532934317199,54647.91491724806
73.012,2.249,1096,1.3,7,3,0.3,2040,1,4.5,5.0,12.0,0.4,0.0,0.0,0,0,999,300000,248700,Maldives,3.0,Dhiggaru,Meemu,5.588014125823975,4.323298931121826,4.401559829711914,29.17038345336914,2039.6251559257507,5,1,5,5,5,4.640000000000001,1.2106516233894706,0.0774307595821694,1696.1034344490415,0,1696.6420010367528,1,37.53506646448727,0,0,37.53506646448727,880.0,5.5,99,0.9735431304635389,99.0,0.6295130916959495,0.8308030575781746,0.2096460048605691,99,SA_PV,0.2096460048605691,1,0.01,0.0,Grid,0.01,1.0,Grid,1.5581181595885125,23552.450233429947
73.021,2.278,1423,1.5,7,4,0.2,2041,1,4.4,5.0,11.0,0.3,0.0,0.0,0,0,999,301000,252000,Maldives,4.0,Mulah,Meemu,5.5904541015625,4.326161861419678,4.403783321380615,29.169397354125977,2040.5157470703125,5,1,5,5,5,4.640000000000001,1.2106516233894706,0.0774307595821694,2202.148893449805,0,2202.84814550666,1,48.73394122168338,0,0,48.73394122168338,880.0,5.5,99,0.9466368846431453,99.0,0.5996936134860915,0.8271159453209749,0.2095432875627442,99,SA_PV,0.2095432875627442,1,0.01,0.0,Grid,0.01,1.0,Grid,2.022994654283245,27819.372242843372
73.016,2.52,940,1.2,7,3,0.2,2036,1,4.4,5.0,10.0,0.3,0.0,0.0,0,0,999,300500,278700,Maldives,3.0,Muli,Meemu,5.578068256378174,4.288422107696533,4.396340370178223,29.16502571105957,2035.9949135780328,5,2,5,5,5,4.73,1.2281939107503848,0.0774307595821694,1454.6872521734483,0,1455.1491614731276,1,32.19248401151276,0,0,32.19248401151276,880.0,5.5,99,0.9923085674535553,99.0,0.6487062104176163,0.8271159453209747,0.21005788306265263,99,SA_PV,0.21005788306265263,1,0.01,0.0,Grid,0.01,1.0,Grid,1.3363422171653283,21486.23588203821
73.044,2.651,2015,1.3,7,5,0.2,1990,1,4.0,5.1,6.0,0.3,0.0,0.0,0,0,999,303500,293200,Maldives,5.0,Himmafushi,Kaafu,5.578730600386042,4.28183137475436,4.397980393852882,29.16312368410276,2036.2366691409056,5,2,5,5,5,4.73,1.2281939107503848,0.082888291793335,3118.2923543930838,0,3119.282511030161,1,69.00835668425316,0,0,69.00835668425316,880.0,5.5,99,0.9352934143815559,99.0,0.5651277768352521,0.812367496292176,0.21491349241987978,99,SA_PV,0.21491349241987978,1,0.01,0.0,Grid,0.01,1.0,Grid,2.864605922966092,34977.28119648889
72.988,2.896,922,1.2,7,3,0.3,2038,1,4.3,5.1,9.0,0.4,0.0,0.0,0,0,999,297000,320400,Maldives,3.0,Feeali,Faafu,5.582940578460693,4.278648376464844,4.402834415435791,29.16256523132324,2037.773311138153,5,2,5,5,5,4.73,1.2281939107503848,0.082888291793335,1426.8315388339568,0,1427.28460306194,1,31.57603219001589,0,0,31.57603219001589,880.0,5.5,99,0.9938524929325423,99.0,0.6510984003568064,0.8234288330637752,0.20985174186239505,99,SA_PV,0.20985174186239505,1,0.01,0.0,Grid,0.01,1.0,Grid,1.3107526853472764,21208.435136255765
72.993,2.983,1825,1.5,7,5,0.2,2038,1,4.2,5.1,10.0,0.3,0.0,0.0,0,0,999,297500,330000,Maldives,5.0,Nilandhoo,Faafu,5.583746433258057,4.274562358856201,4.405202388763428,29.13486289978028,2038.067448139191,5,2,5,5,5,4.73,1.2281939107503848,0.082888291793335,2824.25982469845,0,2825.1566166898483,1,62.501365235117646,0,0,62.501365235117646,880.0,5.5,99,0.9254662626571203,99.0,0.5745052516704514,0.8197417208065754,0.20985174186239494,99,SA_PV,0.20985174186239494,1,0.01,0.0,Grid,0.01,1.0,Grid,2.5944941982199103,32747.911588492414
73.05,3.13,3132,1.3,7,7,0.3,2035,1,4.0,5.2,8.0,0.4,0.0,0.0,0,0,999,304000,346200,Maldives,7.0,Kudahuvadhoo,Dhaalu,5.574940204620361,4.254272937774658,4.398538589477539,29.16435432434082,2034.853174686432,5,2,5,5,5,4.73,1.2281939107503848,0.0884882077265474,4846.894121071532,0,4848.433163546633,1,107.26261694048752,0,0,107.26261694048752,880.0,5.5,99,0.8867901543605274,99.0,0.5297455485473983,0.8123674962921762,0.21016110560961218,99,SA_PV,0.21016110560961218,1,0.01,0.0,Grid,0.01,1.0,Grid,4.4525785363423624,47216.63626705266
