Atoll,Island,Population,Area_km2,Distance_from_Male_km,Nearest_Airport,Electricity_Provider,Maximum_Peak_Load_kW,Total_Installed_Capacity_kW,Total_Generator_Sets_kW,Yearly_Electricity_Production_kWh,Yearly_Billed_Amount_kW,Yearly_Oil_Consumption_Liters,Lube_Oil_Consumption_L_per_year,Solar_PV_Installed_kW,Solar_PV_Production_kWh,Synchronizing_Panel,Synchronizing_Panel_Type,Electricity_Cable_Installed_Year,Distribution_Cable_Size_mm2,CO2_Emissions_tCO2
GAAFU ALIF ATOLL,GEMANAFUSHI,1233.0,1.0,414.8,Kooddoo Airport,FENAKA,285.0,760.0,"360, 400",1428247.31,124979.18,449042.0,1743.0,,-,Yes,Auto,2001.0,"CO2 emission  (tCO2) 1,195.53",1.0
GAAFU ALIF ATOLL,DHEVVADHOO,597.0,0.2,403.0,Kaadedhdhoo Aiport,FENAKA,131.0,452.0,"112, 160, 180",588310.2,49808.0,178210.0,1030.0,,-,Yes,Auto,1998.0,CO2 emission  (tCO2) 474.47,474.47
GAAFU ALIF ATOLL,DHAANDHOO,1106.0,0.2,396.3,Kooddoo Airport,FENAKA,325.0,1071.0,"311, 360, 400",1297058.0,103791.0,417733.0,2552.0,,-,No,-,2000.0,"CO2 emission  (tCO2) 1,112.17",1.0
LAAMU ATOLL,MAAVAH,1270.0,0.4,257.4,Kadhdhoo Aiport,FENAKA,418.0,650.0,"250, 400",1788154.08,0.0,530369.0,1967.8,,-,Yes,Auto,2017.0,"CO2 emission  (tCO2) 1,412.05",1.0
FAAFU ATOLL,BILEIYDHOO,767.0,0.3,132.4,Maamigili Airport,FENAKA,234.0,352.0,"80, 112, 160",860277.0,81399.0,337405.0,1198.0,,-,Yes,Auto,1997.0,CO2 emission  (tCO2) 898.31,898.31
LAAMU ATOLL,MAAMENDHOO,898.0,0.2,263.4,Kadhdhoo Aiport,FENAKA,196.0,740.0,"160, 180 400",765662.65,0.0,298700.2,1229.0,,-,Yes,Auto,1999.0,CO2 emission  (tCO2) 795.26,795.26
LAAMU ATOLL,MAABAIDHOO,650.0,0.5,238.9,Kadhdhoo Aiport,FENAKA,172.0,480.0,"150, 250, 80",1043301.3,0.0,354069.0,867.0,,-,Yes,Manual,2006.0,CO2 emission  (tCO2) 942.67,942.67
LAAMU ATOLL,KALHAIDHOO,467.0,3.6,229.6,Kadhdhoo Aiport,FENAKA,125.0,260.0,"100, 160",814721.96,0.0,198510.0,320.0,,-,No,-,2006.0,CO2 emission  (tCO2) 528.51,528.51
LAAMU ATOLL,HITHADHOO,1011.0,1.1,265.2,Kadhdhoo Aiport,FENAKA,145.0,760.0,"150, 180 180, 250",773619.95,0.0,251095.0,968.0,,-,No,-,2006.0,CO2 emission  (tCO2) 668.52,668.52
LAAMU ATOLL,GAN,3543.0,6.2,251.9,Kadhdhoo Aiport,FENAKA,543.0,4180.0,150,5864001.73,514575.12,1923676.0,7711.0,,-,Yes,Auto,2001.0,"CO2 emission  (tCO2) 5,121.59",5.0
LAAMU ATOLL,FONADHOO,2203.0,1.6,261.1,Kadhdhoo Aiport,FENAKA,192.0,1960.0,"360, 600, 1000",4226395.89,343109.0,1457263.0,3858.0,,-,Yes,Auto,2005.0,"CO2 emission  (tCO2) 3,879.82",3.0
LAAMU ATOLL,DHAN’BIDHOO,569.0,0.6,231.5,Kadhdhoo Aiport,FENAKA,400.0,400.0,"80, 160",621794.42,53817.0,203295.0,725.5,,-,No,-,2006.0,CO2 emission  (tCO2) 541.25,541.25
FAAFU ATOLL,NILANDHOO,1658.0,0.6,144.3,Kudahuvadhoo Airport,ISLAND COMMUNITY,290.0,1000.0,"500, 500",2737970.0,213256.0,790853.0,1700.0,,-,Yes,Auto,2006.0,"CO2 emission  (tCO2) 2,105.57",2.0
FAAFU ATOLL,MAGOODHOO,562.0,0.2,136.7,Maamigili Airport,FENAKA,173.0,536.0,"84, 112, 160, 180",728604.0,65379.0,246695.0,985.0,,-,Yes,Manual,1997.0,CO2 emission  (tCO2) 656.80,656.8
FAAFU ATOLL,FEEALI,864.0,0.1,116.1,Maamigili Airport,FENAKA,188.0,594.0,"128, 166, 300",974936.0,78383.0,359100.0,1447.0,,-,Yes,Manual,1993.0,CO2 emission  (tCO2) 956.07,956.07
FAAFU ATOLL,DHARAN’ BOODHOO,403.0,0.4,140.0,Maamigili Airport,FENAKA,83.0,144.0,"80, 64",316202.0,30725.0,115220.0,439.0,,-,Yes,Manual,1998.0,CO2 emission  (tCO2) 306.76,306.76
KAAFU ATOLL,GULHI,893.0,0.1,22.2,Velana International Airport,STELCO,240.0,792.0,"128, 400, 264",1098089.0,95979.0,325878.0,1119.0,,-,Yes,Manual,2004.0,CO2 emission  (tCO2) 867.62,867.62
KAAFU ATOLL,GURAIDHOO,1605.0,0.2,32.0,Velana International Airport,STELCO,531.0,1350.0,"360, 400, 590",2645625.33,223494.0,740228.0,1757.0,,59661,Yes,Auto,1998.0,-,1.0
KAAFU ATOLL,DHIFFUSHI,1024.0,0.2,37.0,Velana International Airport,STELCO,431.0,664.0,"160, 200, 304",1562538.0,140801.0,438236.0,1446.0,,66069.52,Yes,Manual,2015.0,"CO2 emission  (tCO2) 1,166.76",1.0
NOONU ATOLL,HOLHUDHOO,1682.0,0.199,178.2,Ifuru Airport,FENAKA,375.0,670.0,"120, 250, 300",1902331.65,165345.0,629005.0,3073.0,,-,Yes,Auto,2004.0,"CO2 emission  (tCO2) 1,674.66",1.0
RAA ATOLL,DHUVAAFARU,3018.0,0.495,169.3,Ifuru Airport,MWSC,512.0,1968.0,"440, 640, 888",2653346.0,0.0,727446.0,4550.0,,-,Yes,Auto,2012.0,"CO2 emission  (tCO2) 1,936.75",1.0
BAA ATOLL,THULHAADHOO,1505.0,0.247,119.8,Dharavandhoo Airport,FENAKA,420.0,700.0,"200, 250, 250",1827069.3,179885.0,610236.0,1911.0,,-,Yes,Auto,2000.0,"CO2 emission  (tCO2) 1,624.69",1.0
RAA ATOLL,AN’GOLHITHEEMU,400.0,0.393,188.0,Ifuru Airport,FENAKA,80.0,409.0,"80, 160, 169",349511.0,29369.0,133441.0,896.0,,-,No,-,2006.0,CO2 emission  (tCO2) 355.27,355.27
NOONU ATOLL,VELIDHOO,1987.0,0.435,166.9,Ifuru Airport,FENAKA,475.0,1110.0,"160, 250, 300, 400",2529937.01,208007.0,806232.0,4789.5,,-,Yes,Manual,1997.0,"CO2 emission  (tCO2) 2,146.51",2.0
NOONU ATOLL,MILADHOO,809.0,0.22,180.4,Ifuru Airport,FENAKA,150.0,380.0,"180, 200",835951.1,59524.0,244493.0,1294.0,,-,No,-,2006.0,CO2 emission  (tCO2) 650.94,650.94
NOONU ATOLL,MANADHOO,1408.0,1.067,176.3,Ifuru Airport,FENAKA,475.0,760.0,"160, 600",3707973.58,864883.84,740890.0,2635.0,,-,Yes,Auto,2009.0,"CO2 emission  (tCO2) 1,972.55",1.0
NOONU ATOLL,MAAFARU,616.0,1.305,181.5,Ifuru Airport,FENAKA,160.0,300.0,"50, 50, 200",1202069.1,56413.0,253135.0,1443.0,,-,Yes,Auto,2007.0,CO2 emission  (tCO2) 673.95,673.95
NOONU ATOLL,LHOHI,611.0,0.404,182.1,Ifuru Airport,FENAKA,2336.0,2336.0,"80, 112, 160",512717.52,41770.0,190120.0,790.0,,-,No,-,1998.0,CO2 emission  (tCO2) 506.18,506.18
