Atoll,Island,Population,Area_km2,Distance_from_Male_km,Nearest_Airport,Electricity_Provider,Peak_Load_Time,Maximum_Peak_Load_kW,Total_Installed_Capacity_kW,Total_Generator_Sets_kW,Monthly_Average_Usage_kWh,Yearly_Electricity_Production_kWh,Yearly_Billed_Amount_kW,Yearly_Oil_Consumption_Liters,Lube_Oil_Consumption_L_per_year,Solar_PV_Installed_kW,Solar_PV_Production_kWh,Synchronizing_Panel,Synchronizing_Panel_Type,Electricity_Cable_Installed_Year,Distribution_Cable_Size_mm2,CO2_Emissions_tCO2
ALIFU ALIFU ATOLL,FERIDHOO,437,0.442,89.8,Maamigili Airport,STELCO,13:00,135,444,"128, 140, 176","51,402.22","616,826.60","50,268.00","186,001.00",728.00,,-,No,0,2006,CO2 emission  (tCO2) 495.21,495.21
ALIFU ALIFU ATOLL,HIMANDHOO,703,0.231,90,Maamigili Airport,STELCO,12:00,212,612,"112, 160, 220, 120","74,820.92","897,851.00","80,213.00","273,920.00",857.50,,-,Yes,Auto,2005,CO2 emission  (tCO2) 729.28,729.28
ALIFU ALIFU ATOLL,MAALHOS,426,0.319,91.5,Maamigili Airport,STELCO,11:30,124,476,"80, 176, 140, 80","57,359.25","688,311.00","70,790.00","199,378.00",820.00,,-,Yes,Auto,1989,CO2 emission  (tCO2) 530.82,530.82
ALIFU ALIFU ATOLL,MATHIVERI,578,0.219,86.9,Velana International Airport,STELCO,,240,920,"160, 176, 184, 400","90,722.83","1,088,674.00","93,607.00","326,604.00","1,378.00",,-,Yes,Auto,,-,869.55
ALIFU ALIFU ATOLL,RASDHOO,1065,0.201,58,Velana International Airport,STELCO,12:30,495,1218,"440, 250, 528","208,092.67","2,497,112.00","322,780.00","669,768.00","1,697.00",,-,Yes,Manual,2002,"CO2 emission  (tCO2) 1,783.19",1
ALIFU ALIFU ATOLL,THODDOO,1320,1.726,67.8,Velana International Airport,STELCO,12:30,451,680,"120, 176, 264, 120","161,787.42","1,941,449.00","178,682.00","612,304.00","1,653.50",,-,Yes,Auto,2007,"CO2 emission  (tCO2) 1,630.20",1
ALIFU ALIFU ATOLL,UKULHAS,918,0.213,72,Maamigili Airport,STELCO,12:30,286,737,"112, 300, 325","116,527.58","1,398,331.00","124,640.00","398,807.00","1,699.95",,22825,Yes,Manual,2002,"CO2 emission  (tCO2) 1,061.78",1
VAAVU ATOLL,FELIDHOO,516,0.144,79.6,Maamigili Airport,STELCO,12:30,190,574,"150, 120, 304","79,073.31","948,879.70","79,067.00","286,613.00","1,041.50",,-,No,-,2004,CO2 emission  (tCO2) 763.08,763.08
VAAVU ATOLL,FULIDHOO,360,0.121,56.7,Velana International Airport,STELCO,15:00,158,439,"100, 160, 179","46,126.34","553,516.07","52,443.00","195,350.00",808.00,,-,No,-,2010,CO2 emission  (tCO2) 520.10,520.10
VAAVU ATOLL,KEYODHOO,657,0.118,79.6,Maamigili Airport,STELCO,13:30,134,456,"120, 153, 183","60,882.62","730,591.40","67,399.00","219,985.00","1,137.00",,-,Yes,Auto,2007,CO2 emission  (tCO2) 585.69,585.69
VAAVU ATOLL,RAKEEDHOO,84,0.063,96.5,Maamigili Airport,STELCO,19:00,39,72,72,"9,351.67","112,220.00","14,744.00","52,348.00",267.00,,33613.32,No,-,2008,CO2 emission  (tCO2) 139.37,139.37
VAAVU ATOLL,THINADHOO,132,0.116,77.8,Maamigili Airport,STELCO,13:30,208,528,72,"58,779.47","705,353.60","70,829.00","201,437.00","1,111.00",,-,No,-,2012,CO2 emission  (tCO2) 536.31,536.31
MEEMU ATOLL,DHIGGARU,982,0.100,118.7,Maamigili Airport,FENAKA,14:00,212,550,"140, 160, 250","80,264.42","963,173.00","117,599.00","362,237.00","1,107.50",,-,Yes,Auto,2008,CO2 emission  (tCO2) 964.42,964.42
MEEMU ATOLL,KOLHUFUSHI,748,0.900,157.6,Kudahuvadhoo Airport,FENAKA,13:00,206,720,"160, 280, 280","83,221.08","998,652.90","82,390.00","317,221.00",765.00,,-,Yes,Auto,2014,CO2 emission  (tCO2) 844.57,844.57
MEEMU ATOLL,MADUVVARI,369,0.100,118.7,Maamigili Airport,FENAKA,7:30,83,226,"34, 40, 48, 104","29,114.83","349,378.00","30,115.00","125,782.00","1,078.00",,-,Yes,Auto,2017,CO2 emission  (tCO2) 334.88,334.88
MEEMU ATOLL,MULAH,1264,0.700,137.2,Kudahuvadhoo Airport,FENAKA,13:00,270,839,"225, 250, 364","117,296.58","1,407,559.00","116,403.00","437,302.00","1,703.00",,-,Yes,Auto,2009,"CO2 emission  (tCO2) 1,164.27",1
MEEMU ATOLL,MULI,862,0.400,140.9,Kudahuvadhoo Airport,FENAKA,13:00,380,660,"160, 250, 250","102,559.42","1,230,713.00","121,105.00","438,206.30","1,637.00",,-,Yes,Manual,2009,"CO2 emission  (tCO2) 1,166.68",1
MEEMU ATOLL,NAALAAFUSHI,426,0.100,144.6,Kudahuvadhoo Airport,FENAKA,13:00,74,188,"80, 108","97,045.83","1,164,550.00","82,390.00","157,322.00","1,043.00",,-,No,-,2005,CO2 emission  (tCO2) 418.85,418.85
