Island_Name,Atoll,Atoll_Code,PCode,Pop,Area_km2,X_deg,Y_deg,GHI_GSA,TEMP_GSA
Milandhoo,Shaviyani,Sh,MV003016,2094,1.31,73.244537,6.286048,5.5124,29.23
Foakaidhoo,Shaviyani,Sh,MV003007,1571,0.666,73.149331,6.326647,5.523,29.22
Kan'ditheemu,Shaviyani,Sh,MV003001,1193,0.876,72.916462,6.440347,5.5167,29.23
Maaun'goodhoo,Shaviyani,Sh,MV003014,944,0.289,73.283838,6.036741,5.5153,29.23
Komandoo,Shaviyani,Sh,MV003013,921,0.218,73.054302,6.054146,5.5341,29.16
Feydhoo,Shaviyani,Sh,MV003004,854,0.886,73.048799,6.360653,5.5241,29.19
Feevah,Shaviyani,Sh,MV003005,694,0.859,73.209241,6.348927,5.5223,29.24
Lhaimagu,Shaviyani,Sh,MV003011,684,0.434,73.251397,6.164071,5.5191,29.23
Goidhoo,Shaviyani,Sh,MV003003,592,0.987,72.929954,6.43008,5.5141,29.21
Narudhoo,Shaviyani,Sh,MV003008,544,0.42,73.218116,6.264333,5.5085,29.22
Bileiyfahi,Shaviyani,Sh,MV003006,502,0.653,72.974861,6.337788,5.5235,29.24
Maroshi,Shaviyani,Sh,MV003010,479,0.303,73.061259,6.209576,5.5276,29.24
Noomaraa,Shaviyani,Sh,MV003002,371,0.385,73.069098,6.43422,5.52,29.24
Veymandoo,Thaa,Th,MV014011,1321,0.443,73.095099,2.186919,5.5719,29.13
Guraidhoo,Thaa,Th,MV014005,1293,0.758,73.31756,2.322844,5.5781,29.17
Thimarafushi,Thaa,Th,MV014010,1229,0.967,73.148215,2.208845,5.5778,29.17
Hirilandhoo,Thaa,Th,MV014008,1146,0.298,72.931698,2.271096,5.5873,29.17
Vilufushi,Thaa,Th,MV014002,1081,0.597,73.308554,2.503258,5.574,29.16
Madifushi,Thaa,Th,MV014003,858,0.531,73.354998,2.356338,5.5723,29.15
Dhiyamigili,Thaa,Th,MV014004,649,0.291,73.336843,2.339681,5.5763,29.14
Omadhoo,Thaa,Th,MV014013,417,0.367,73.023556,2.167697,5.569,29.15
Burunee,Thaa,Th,MV014001,414,0.338,73.107029,2.558971,5.5799,29.16
Vandhoo,Thaa,Th,MV014007,364,0.257,72.941928,2.291681,5.5854,28.97
Gaadhiffushi,Thaa,Th,MV014009,317,0.14,73.212765,2.252527,5.5804,29.16
Keyodhoo,Vaavu,V,MV010004,641,0.117,73.549988,3.462109,5.5521,29.1
Felidhoo,Vaavu,V,MV010003,620,0.156,73.54725,3.471934,5.5502,29.16
Fulidhoo,Vaavu,V,MV010001,400,0.118,73.415684,3.680529,5.5487,29.18
Thinadhoo,Vaavu,V,MV010002,258,0.124,73.538421,3.487657,5.5484,29.16
Rakeedhoo,Vaavu,V,MV010005,76,0.064,73.469842,3.314892,5.5524,29.17
Hoarafushi,Haa Alifu,HA,MV001006,3561,1.050,72.895800,6.980600,5.4883,29.23
Kon'dey,Gaafu Alifu,GA,MV016007,272,1.510,73.548600,0.498600,5.5693,29.14
Un'goofaaru,Raa,R,MV006004,1754,0.350,73.030600,5.668100,5.5361,29.22
An'golhitheemu,Raa,R,MV006006,403,0.340,73.006200,5.793600,5.5361,29.22
Ken'dhikulhudhoo,Noonu,N,MV004002,1331,0.700,73.050000,5.919444,5.5084,29.22
Fodhdhoo,Noonu,N,MV004012,345,0.340,73.216100,5.743900,5.5084,29.22
